type_of_work,building_function_code,original_date_factor,floor_area,main_construction,storeys,original_location_factor,contract_contract_sum,cost_increment,cost_rebased
1,568.12,152,361,1,1,126.0,1792.5373961218836,1.68,4804.0
1,562.32,146,2930,2,1,90.0,350.51194539249144,1.79,977.93
3,670.1,170,96,1,1,114.0,9168.114583333334,1.4,22003.48
3,712.0,152,132,1,1,103.0,848.4469696969697,1.68,2273.84
3,712.1,158,71,2,1,103.0,1217.5633802816901,1.58,3141.31
1,712.0,167,1795,1,1,103.0,1262.1359331476324,1.44,3079.61
3,712.0,171,448,2,1,103.0,1550.904017857143,1.39,3706.66
1,282.2,158,1112,2,1,100.0,580.3327338129496,1.58,1497.26
3,712.0,162,268,1,1,99.0,996.0223880597015,1.52,2509.98
1,713.0,162,580,1,1,99.0,601.6689655172414,1.52,1516.21
3,413.2,158,148,1,1,92.0,1334.8175675675675,1.58,3443.83
1,713.0,162,915,1,1,99.0,527.8688524590164,1.52,1330.23
1,712.0,167,1298,1,1,102.0,989.2526964560863,1.44,2413.78
1,568.12,162,1236,2,1,90.0,1020.0849514563107,1.52,2570.61
1,562.1,146,3201,2,1,126.0,1037.5151515151515,1.79,2894.67
3,562.12,162,1933,2,1,99.0,1028.1365752715985,1.52,2590.9
3,562.2,158,636,2,2,96.0,2716.9182389937105,1.58,7009.65
1,562.1,146,2797,2,1,103.0,398.67572398998925,1.79,1112.31
3,713.8,162,3207,2,1,109.0,911.6797630183972,1.52,2297.43
1,136.0,170,357,2,1,89.0,1348.7394957983192,1.4,3236.97
1,717.3,171,2882,2,1,98.0,1116.592297015961,1.39,2668.66
3,722.2,171,350,2,1,100.0,1332.0314285714285,1.39,3183.56
1,712.0,171,1820,2,1,93.0,1474.946153846154,1.39,3525.12
1,712.0,162,2355,1,1,90.0,902.0322717622081,1.52,2273.12
1,562.1,158,3195,2,1,100.0,809.5220657276996,1.58,2088.57
1,568.12,146,354,2,1,99.0,1019.9858757062146,1.79,2845.76
1,810.1,162,916,1,1,92.0,830.5076419213974,1.52,2092.88
3,412.0,170,2143,1,2,111.0,1469.4209052729818,1.4,3526.61
1,320.0,162,1384,2,2,97.0,905.846098265896,1.52,2282.73
1,712.0,167,64,1,1,103.0,1404.1875,1.44,3426.22
1,712.0,170,122,1,1,103.0,1285.7622950819673,1.4,3085.83
1,713.0,170,356,1,1,103.0,1086.558988764045,1.4,2607.74
1,722.2,158,215,1,1,100.0,1601.0232558139535,1.58,4130.64
1,562.1,146,1579,2,1,109.0,1055.5674477517416,1.79,2945.03
1,562.1,162,3719,2,1,99.0,841.4460876579726,1.52,2120.44
1,562.1,170,2550,2,1,101.0,631.4215686274509,1.4,1515.41
3,562.11,167,2304,2,1,102.0,969.1844618055555,1.44,2364.81
1,446.0,167,457,1,1,90.0,1096.7899343544857,1.44,2676.17
1,320.0,152,10639,2,3,110.0,1403.6505310649497,1.68,3761.78
1,712.0,162,1297,2,1,102.0,920.4009252120278,1.52,2319.41
1,320.0,154,5862,1,2,102.0,869.1125895598772,1.65,2303.15
1,320.0,162,6764,2,5,110.0,1507.793317563572,1.52,3799.64
1,284.1,167,8621,2,1,102.0,380.65758032710823,1.44,928.8
1,532.2,158,144,1,1,98.0,1874.0208333333333,1.58,4834.97
1,417.88,162,1771,2,2,90.0,727.3574251835122,1.52,1832.94
1,414.8,167,487,2,1,126.0,1794.9199178644765,1.44,4379.6
4,282.1,171,3904,2,1,93.0,252.26818647540983,1.39,602.92
1,562.12,170,800,2,1,98.0,811.3825,1.4,1947.32
3,712.0,170,64,2,1,103.0,1769.265625,1.4,4246.24
1,712.0,171,85,1,1,103.0,1490.6588235294118,1.39,3562.67
1,712.0,171,66,1,1,103.0,1629.8030303030303,1.39,3895.23
3,712.0,171,126,1,1,103.0,1526.8412698412699,1.39,3649.15
1,562.1,147,2550,2,1,111.0,943.2717647058823,1.78,2622.3
1,713.0,167,640,2,2,100.0,859.1359375,1.44,2096.29
3,712.0,170,216,1,1,103.0,1712.4398148148148,1.4,4109.86
1,562.11,162,6628,2,1,109.0,1655.96031985516,1.52,4173.02
3,532.0,170,41,1,1,109.0,4813.024390243902,1.4,11551.26
3,282.22,167,2108,2,1,95.0,1335.3889943074005,1.44,3258.35
1,345.1,171,1855,2,1,119.0,1198.4479784366576,1.39,2864.29
1,810.1,170,322,1,2,97.0,1659.1987577639752,1.4,3982.08
1,810.1,170,398,1,1,97.0,1342.3668341708542,1.4,3221.68
1,127.31,158,725,2,1,119.0,903.6317241379311,1.58,2331.37
1,713.1,171,1041,2,1,119.0,1595.0672430355428,1.39,3812.21
